REGIAO,NOME_REGIAO,VALIDADE_INI,VALIDADE_FIN,COMPRADOR,NOME_COMPRADOR,FORNECEDOR,NM_FORNECEDOR,PRODUTO,NOME_PR,MARCA,NOME_MARCA,QTDE,VRUNI,OBS_FORNECEDOR
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300100001,ACELGA KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300100501,AGRIAO KG,00001,PADRAO,,"15,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300100801,ALCACHOFRA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300101001,ALECRIM KG,00001,PADRAO,,58,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300101002,ALECRIM 150GR MC,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300101501,ALFACE AMERICANA KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300102001,ALFACE CRESPA KG,00001,PADRAO,,"9,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300102501,ALFACE LISA KG,00001,PADRAO,,"9,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300103001,ALFACE ROMANA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300103501,ALFACE ROXA KG,00001,PADRAO,,"10,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300104001,ALHO PORO KG,00001,PADRAO,,"6,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300104002,ALHO PORO 100GR MC,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300104501,ALMEIRAO  KG,00001,PADRAO,,"9,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300105001,CATALONHA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300105101,CAPIM SANTO KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300105501,CEBOLINHA KG,00001,PADRAO,,21,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300105502,CEBOLINHA 200GR MC,00001,PADRAO,,"2,1",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300106001,CEBOLINHA 300GR UN,00001,PADRAO,,"2,1",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300106501,CHEIRO VERDE KG,00001,PADRAO,,25,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300106502,CHEIRO VERDE 300GR MC,00001,PADRAO,,"2,49",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300107001,CHICORIA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300107501,COENTRO KG,00001,PADRAO,,"24,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300107502,COENTRO 300GR MC,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300108001,COENTRO UN,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300108501,COUVE MANTEIGA KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300108901,ENDRO DIL KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300109001,ERVA DOCE KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300109002,ERVA DOCE 250GR PT,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300109501,ESCAROLA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300110001,ESPINAFRE KG,00001,PADRAO,,"18,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300110501,HORTELA KG,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300110502,HORTELA 200GR MC,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300111001,HORTELA UN,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300111501,JAMBU 300GR UN,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300112001,LOURO KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300112501,MACUMBA 7 ERVAS KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300112901,MANIVA EM FOLHA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300113001,MANJERICAO 300GR UN,00001,PADRAO,,"2,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300113101,MANJERICAO KG,00001,PADRAO,,"24,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300113501,MOSTARDA KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300113502,MOSTARDA 500GR MC,00001,PADRAO,,"3,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300114001,REPOLHO ROXO KG,00001,PADRAO,,"6,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300114501,REPOLHO VERDE KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300115001,RUCULA KG,00001,PADRAO,,"18,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300115501,SALSA KG,00001,PADRAO,,"24,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300115502,SALSA 100GR MC,00001,PADRAO,,"2,49",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300116001,SALSAO KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300116501,SALVIA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300116502,SALVIA 100GR MC,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300117001,TOMILHO KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300117002,TOMILHO 100GR MC,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300200001,ABOBORA KABOTIA/JAPONESA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300200501,ABOBORA MORANGA KG,00001,PADRAO,,"3,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300201001,ABOBORA PAULISTA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300201501,ABOBORA SECA/ PESCOCO KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300202001,ABOBRINHA BRASILEIRA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300202501,ABOBRINHA ITALIANA KG,00001,PADRAO,,"3,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300203001,ALHO C/CASCA NACIONAL KG,00001,PADRAO,,25,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300203501,ALHO DESCASCADO NACIONAL KG,00001,PADRAO,,25,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300203701,ASPARGO IN NATURA KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300204001,BATATA BOLINHA KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300204501,BATATA DOCE KG,00001,PADRAO,,"3,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300205001,BATATA FLORAO KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300205501,BATATA LAVADA GRAUDA KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300206001,BATATA LAVADA/MONALISA MEDIA KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300206002,BATATA LAVADA/MONALISA MEDIA F=25KG CX,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300206501,BERINJELA KG,00001,PADRAO,,"7,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300207001,BETERRABA KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300207101,BROCOLIS KG,00001,PADRAO,,"21,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300207501,CARA KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300208001,CEBOLA KG,00001,PADRAO,,"7,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300208501,CEBOLA PIRULITO KG,00001,PADRAO,,"7,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300209001,CEBOLA ROXA KG,00001,PADRAO,,"10,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300209501,CENOURA TOCO KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300210001,CENOURA 1A KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300210002,CENOURA 1A F=20KG CX,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300210201,CENOURA BABY KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300210501,CHUCHU KG,00001,PADRAO,,"4,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300211001,COUVE FLOR KG,00001,PADRAO,,"10,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300211101,COUVE FLOR UN,00001,PADRAO,,"10,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300211301,COGUMELO SHITAKE KG,00001,PADRAO,,,
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300211501,GENGIBRE KG,00001,PADRAO,,"21,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300212001,INHAME KG,00001,PADRAO,,"5,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300212501,JILO KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300213001,MANDIOCA C/CASCA KG,00001,PADRAO,,"5,5",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300213501,MANDIOCA S/CASCA KG,00001,PADRAO,,"10,9",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300214001,MANDIOQUINHA KG,00001,PADRAO,,"12,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300214101,MAXIXE KG,00001,PADRAO,,"10,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300214501,MILHO VERDE ESPIGA LIMPO KG,00001,PADRAO,,"10,99",
003,GRANDE BH,01/09/2026 00:00:00,30/09/2026 00:00:00,000000999997,HORTIFRUTI,_27540906000155,HORTIFRUTI SANTA LUZIA LTDA,_1010300214601,MILHO VERDE ESPIGA LIMPO UN,00001,PADRAO,,"2,5",
