COD,UNIDADE,KG
82,CAIXA,20
82,KG,1
95,CAIXA,15
95,KG,1
128,KG,1
128,CAIXA,15
141,CAIXA,18
66,CAIXA,10
66,UNID,1
136,CAIXA,18
150,CAIXA,18
146,CAIXA,18
127,KG,1
49,KG,1
39,KG,1
87,CAIXA,12
43,KG,1
48,KG,1
100,CAIXA,15
87,UNID,1
146,CAIXA,15
37,KG,1
50,KG,1
34,KG,1
31,UNID,1
153,CAIXA,18
133,CAIXA,10
133,KG,1
54,KG,1
160,CAIXA,18
39,CAIXA,25
120,CAIXA,18
127,CAIXA,18
48,CAIXA,18
30,CAIXA,10
55,KG,1
76,KG,1
48,KG,1
13,UNID,1
100,KG,1
146,KG,1
136,KG,1
102,UNID,1
47,KG,1
80,KG,1
79,KG,1
3,UNID,1
62,KG,1
61,KG,1
46,KG,1
56,KG,1
45,KG,1
8,UNID,1
12,UNID,1
51,KG,1
15,UNID,1
4,UNID,1
120,KG,1
9,UNID,1
9,KG,1
102,UNID,1
150,KG,1
102,UNID,1
78,KG,1
10,UNID,1
