COD,PRODUTO,KG / PREÇO
480,COUVE KG,"12,99"
490,ALFACE KG,"9,5"
3,ALFACE UNI,0
13,CEBOLINHA,"2,1"
24,SALSA,"2,49"
48,CEBOLA BRANCA,"7,99"
61,PIMENTÃO VERDE,"9,99"
39,BATATA INGLESA,"5,99"
46,BETERRABA,"5,99"
127,LIMÃO,"4,99"
87,ABACAXI,"10,99"
76,PEPINO,"5,99"
66,PENTE DE OVOS,"22,9"
95,BANANA CATURRA,"2,99"
55,MANDIOCA,"10,9"
136,MAMAO FORM,"5,99"
120,LARANJA,"3,99"
31,ALHO SEM CASCA,25
86,VAGEM,"15,99"
146,MANGA PALMER,"12,99"
10,COUVE,0
50,CHUCHU,"4,99"
128,MELÂNCIA,"3,99"
17,HORTELÃ,"2,49"
19,MANJERICÃO,"2,49"
34,ABÓB ITALIANA,"3,99"
141,MAÇA FUJI,"9,99"
49,CENOURA,"4,99"
79,REPOLHO VERDE,"4,99"
7,ALMEIRÃO,0
82,TOMATE,"5,99"
80,REPOLHO ROXO,"6,99"
263,ÁGUA MINERAL IG 20L,0
150,MELÃO,"4,99"
45,BERINJELA,"7,99"
47,CEBOLA ROXA,"10,99"
178,UVA S/ SEMENTE,"15,9"
37,ABÓBORA MORANGA,"3,99"
78,QUIABO,"28,9"
115,KIWI,"38,99"
135,MORANGO BANDEJA,"15,99"
62,PIMEN VL/AMAR,"28,9"
41,BATATA MIÚDA,"4,99"
468,ALHO PORO,"6,9"
43,BATATA DOCE,"3,99"
30,ALHO COM CASCA,0
132,LIMÃO SICILIANO,0
97,BANANA MAÇA,0
780,CEREJA,0
28,ALFACE ROXA ,0
781,ALFACE ROXA KG,"10,9"
4,ALFACE AMERICANA,0
782,ALFACE AMERIC KG,"12,99"
112,COCA COLA 2L RETOR,10
54,JILÓ,"12,99"
1124,SACO DE MILHO,0
113,GOIABA,0
64,TAXA DE ENTREGA,0
65,PRODUTO EM PROMOÇÃO,0
159,PÊRA PORTUGUESA,0
160,PÊRA WILLIANS,0
56,BAROA,0
100,BANANA PRATA,0
91,AMEIXA NACIONAL,0
92,PÊSSEGO,0
8,BRÓCOLIS JAPONÊS,"21,9"
16,ESPINAFRE,0
142,MAÇA GALA,0
143,MAÇA MIÚDA,0
166,UVA ROSADA,"21,99"
140,MAÇA ARGENTINA,0
264,ÁGUA S/GAS 500ML FD,0
265,ÁGUA C/GAS 500ML FD,0
153,MEXERICA POKAN,0
15,ACELGA UNI,0
18,MOSTARDA,0
12,COUVE FLOR,"10,99"
51,CARÁ,0
133,MARACUJÁ,"12,99"
6,AGRIÃO,0
495,ÁGUA MINERAL COPO,0
144,MILHO ESPIGA,"10,99"
101,BANANA DA TERRA,0
102,RÚCULA,0
9,RABANETE,
